地區,年份,醫師,護理師,各鄉鎮歷年人口數,每萬人醫師數,每萬人護理師數
中埔鄉,2014,17,12,46156,3.683161452,2.599878672
竹崎鄉,2014,34,98,36924,9.208103131,26.54100314
梅山鄉,2014,7,7,20304,3.447596533,3.447596533
番路鄉,2014,3,4,12089,2.481594838,3.308793118
大埔鄉,2014,0,4,4658,0,8.587376556
阿里山鄉,2014,4,16,5764,6.93962526,27.75850104
東區,2015,571,1886,122900,46.46053702,153.458096
西區,2015,291,749,147466,19.73336227,50.79136886
朴子市,2015,380,1255,42956,88.46261291,292.1594189
布袋鎮,2015,9,6,27954,3.219575016,2.146383344
大林鎮,2015,198,825,31697,62.46647948,260.2769978
民雄鄉,2015,37,30,71862,5.14875734,4.174668114
溪口鄉,2015,7,4,15113,4.631773969,2.646727983
新港鄉,2015,15,18,32797,4.573589048,5.488306857
六腳鄉,2015,4,7,24202,1.652755971,2.892322949
東石鄉,2015,4,4,25751,1.553337734,1.553337734
義竹鄉,2015,6,8,19258,3.115588327,4.154117769
鹿草鄉,2015,3,2,16119,1.86115764,1.24077176
太保市,2015,16,25,37212,4.299688273,6.718262926
水上鄉,2015,16,18,50431,3.172651742,3.56923321
中埔鄉,2015,14,12,45724,3.061849357,2.624442306
竹崎鄉,2015,33,102,36546,9.029715974,27.91003119
梅山鄉,2015,6,8,20010,2.99850075,3.998001
番路鄉,2015,3,5,11865,2.528445006,4.214075011
大埔鄉,2015,0,4,4621,0,8.656135036
阿里山鄉,2015,3,18,5721,5.24383849,31.46303094
